date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:41	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Oct%202025%2011:21:48%20GMT	https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby	C:/My%20Web%20Sites/abc2/ib-indraditya.github.io/Bioremax_innovation/folderaccessedby.0.delayed	(from )
16:51:41	21274/21274	---M-Z	200	added ('OK')	text/html	etag:W/%2268d8e8f9-531a%22	https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/	C:/My%20Web%20Sites/abc2/ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/index.html	(from )
16:51:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268ed376f-239b%22	https://ib-indraditya.github.io/robots.txt		(from )
16:51:42	6115/6115	---M-Z	200	added ('OK')	text/css	etag:W/%2268d8e8f9-17e3%22	https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/css/style.css	C:/My%20Web%20Sites/abc2/ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/css/style.css	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:42	2029/2029	---M-Z	200	added ('OK')	application/javascript	etag:W/%2268d8e8f9-7ed%22	https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/js/dynamic.js	C:/My%20Web%20Sites/abc2/ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/js/dynamic.js	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:43	269032/269032	---M--	200	added ('OK')	image/png	etag:%2268d8e8f9-41ae8%22	https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/images/bipllogo.png	C:/My%20Web%20Sites/abc2/ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/images/bipllogo.png	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:43	232948/232948	---MCZ	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/abc2/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:43	80663/80663	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213b17-9/0PPchLLPk7+B6DJQWmc/NU4KM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/abc2/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:44	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/abc2/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:44	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/My%20Web%20Sites/abc2/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
16:51:44	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/abc2/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://ib-indraditya.github.io/Bioremax_innovation/folderaccessedby/)
